company,location,country,year,capex,currency,capex_2025_eur,capacity,facility_size_m2,source_url,confidence_score
"ADM - Wild Flavors, Inc.","Erlanger, Kentucky",US,2017,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2018,0.565
Abbott Nutrition,"Casa Grande, Arizona",US,2017,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2018,0.565
Agropur,"Jerome, Idaho",US,2017,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2018,0.565
Agropur,"Lake Norden, South Dakota",US,2017,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2018,0.565
Ajinomoto Windsor,"Joplin, Missouri",US,2017,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2018,0.565
Americold,"Clearfield, Utah",US,2017,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2018,0.565
Americold,"San Antonio, Texas",US,2017,,,,,35675,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2018,0.64
Anchor Ingredients,"Buffalo, North Dakota",US,2017,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2018,0.565
Anheuser-Busch,"Arnold, Missouri",US,2017,57.0,USD,69.33,,8175,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2018,0.79
Apogee Foods,"Dallas, Texas",US,2017,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2018,0.565
AppHarvest,"Pikeville, Kentucky",US,2017,50.0,USD,60.81,,185806,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2018,0.79
"Arca Continental, S.A.B. de C.V.","El Marques, Queretaro, MX",US,2017,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2018,0.565
Armanino Foods,"Hayward, California",US,2017,,,,,1486,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2018,0.64
Associated Milk Producers,"Sanborn, Iowa",US,2017,,,,,1208,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2018,0.64
Atlanta Bonded Warehouse Corp.,"Atlanta, Georgia",US,2017,,,,,15050,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2018,0.64
Bama Foods,"Owasso, Oklahoma",US,2017,,,,,,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2018,0.565
Bambinos Baby Food,"Anchorage, Alaska",US,2017,,,,,279,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2018,0.64
Base Culture,"Tampa, Florida",US,2017,,,,,2787,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2018,0.64
Bent Paddle Brewing,"Duluth, Minnesota",US,2017,,,,,929,https://www.foodengineeringmag.com/food-plant-construction-survey-list-2018,0.64
